OrderID,OrderDate,OrderTime,CustomerID,CustomerName,DishID,DishName,Category,Quantity,Price,Revenue,CostPrice,Profit,Feedback
O00072,08-02-2024,11:45,C0206,Aariz Faruqi,R67,Veg Manchurian,Starter,3,? 240.00, ? 720.00 , ? 169.00 ,? 213.00,Wasn't very impressed with the Veg Manchurian. It lacked flavor.
O00073,08-02-2024,11:15,C0326,Aman Sayyad,R18,Veg Hakka Noodles,Rice & Noodles,4,? 220.00, ? 880.00 , ? 165.00 ,? 220.00,A satisfying meal. The Veg Hakka Noodles was a good choice.
O00074,08-02-2024,11:00,C0187,Aasin Nadaf,R154,Egg Mayo Sandwich,Snacks,2,? 85.00, ? 170.00 , ? 66.00 ,? 38.00,The Egg Mayo Sandwich was excellent. Really enjoyed the meal.
O00075,08-02-2024,12:15,C0153,Nikhat Malik,R117,Vada Pav,Snack,4,? 120.00, ? 480.00 , ? 91.00 ,? 116.00,The Vada Pav was fine.
O00076,08-02-2024,20:45,C0109,Aman Mujawar,R62,Dal Makhani,Vegetarian,5,? 340.00," ? 1,700.00 ", ? 269.00 ,? 355.00,A wholesome and delicious Dal Makhani. The vegetables were so fresh!
O00077,08-02-2024,11:00,C0091,Aasin Nadaf,R79,Hot & Sour Soup (Veg),Starter,2,? 160.00, ? 320.00 , ? 113.00 ,? 94.00,The Hot & Sour Soup (Veg) was a fantastic start to our meal! Perfectly crispy.
O00078,08-02-2024,22:00,C0080,Sher Khan,R59,Veg Pulao,Rice & Noodles,1,? 240.00, ? 240.00 , ? 190.00 ,? 50.00,The Veg Pulao was not what I expected.
O00079,08-02-2024,18:45,C0153,Nikhat Malik,R86,Chicken Momos,Starter,4,? 220.00, ? 880.00 , ? 170.00 ,? 200.00,Absolutely loved the Chicken Momos! It was the perfect appetizer to get us started.
O00080,08-02-2024,18:15,C0124,Arahan Shaikh,R88,Fried Momos (Veg),Starter,3,? 200.00, ? 600.00 , ? 141.00 ,? 177.00,The Fried Momos (Veg) was simply delicious and fresh. Highly recommended!
O00081,08-02-2024,18:30,C0190,Rihan Raes,R36,Chole Bhature,Vegetarian,1,? 280.00, ? 280.00 , ? 223.00 ,? 57.00,The Chole Bhature is a great choice for vegetarians. Hearty and full of flavor.
O00082,08-02-2024,14:15,C0195,Aasin Malik,R48,Egg Curry,Non-Veg Main,2,? 280.00, ? 560.00 , ? 203.00 ,? 154.00,The Egg Curry was the highlight of our meal. Absolutely delicious!
O00083,08-02-2024,17:00,C0135,Danish Azam,R38,Biryani Veg,Rice & Noodles,2,? 320.00, ? 640.00 , ? 233.00 ,? 174.00,A satisfying meal. The Biryani Veg was a good choice.
O00084,09-02-2024,20:45,C0215,Ayeza Faruqi,R165,Paneer Tandoori Wrap,Snacks,5,? 120.00, ? 600.00 , ? 94.00 ,? 130.00,The Paneer Tandoori Wrap met my expectations.
O00085,09-02-2024,18:30,C0214,Nikhat Taimoor,R73,Chili Paneer,Starter,4,? 280.00," ? 1,120.00 ", ? 219.00 ,? 244.00,Absolutely loved the Chili Paneer! It was the perfect appetizer to get us started.
O00086,09-02-2024,11:45,C0165,Dua Sayyad,R30,Shahi Paneer,Vegetarian,3,? 400.00," ? 1,200.00 ", ? 281.00 ,? 357.00,The Shahi Paneer is a great choice for vegetarians. Hearty and full of flavor.
O00087,09-02-2024,13:30,C0172,Ayeza Shaikh,R120,Pani Puri,Snack,5,? 100.00, ? 500.00 , ? 74.00 ,? 130.00,The Pani Puri was fine.
O00088,09-02-2024,12:45,C0022,Aasiya Ali,R116,Uttapam,South Indian,5,? 220.00," ? 1,100.00 ", ? 170.00 ,? 250.00,Great food! The Uttapam was delicious and well-prepared.
O00089,09-02-2024,18:15,C0185,Nikhat Shikalkar,R9,Palak Paneer,Vegetarian,1,? 360.00, ? 360.00 , ? 273.00 ,? 87.00,The Palak Paneer was bland and needed more seasoning.
O00090,09-02-2024,17:45,C0067,Sultan Ali,R67,Veg Manchurian,Starter,4,? 240.00, ? 960.00 , ? 169.00 ,? 284.00,The Veg Manchurian was simply delicious and fresh. Highly recommended!
O00091,09-02-2024,12:30,C0055,Sultan Momin,R100,Biryani (Veg),Rice,4,? 320.00," ? 1,280.00 ", ? 251.00 ,? 276.00,The Biryani (Veg) was excellent. Really enjoyed the meal.
O00092,10-02-2024,15:45,C0097,Isharat Taimoor,R134,Grilled Cheese Sandwich,Sandwiches,2,? 120.00, ? 240.00 , ? 90.00 ,? 60.00,The Grilled Cheese Sandwich was not what I expected.
O00093,10-02-2024,14:00,C0014,Arman Faruqi,R57,Chicken Tikka Masala,Non-Veg Main,4,? 480.00," ? 1,920.00 ", ? 373.00 ,? 428.00,Felt that the Chicken Tikka Masala was overpriced for its quality.
O00094,10-02-2024,22:00,C0288,Anis Shikalkar,R36,Chole Bhature,Vegetarian,4,? 280.00," ? 1,120.00 ", ? 223.00 ,? 228.00,The vegetables in the Chole Bhature seemed overcooked.
O00095,10-02-2024,20:30,C0235,Abdul Rahim Malik,R43,Idli Sambar,Vegetarian,5,? 160.00, ? 800.00 , ? 119.00 ,? 205.00,The Idli Sambar was a decent vegetarian option.
O00096,10-02-2024,17:45,C0330,Kaif Momin,R88,Fried Momos (Veg),Starter,1,? 200.00, ? 200.00 , ? 141.00 ,? 59.00,The Fried Momos (Veg) was okay. It was a standard appetizer.
O00097,10-02-2024,11:30,C0145,Imran Khan,R119,Misal Pav,Snack,3,? 160.00, ? 480.00 , ? 126.00 ,? 102.00,A satisfying meal. The Misal Pav was a good choice.
O00098,10-02-2024,20:45,C0039,Aasifa Shaikh,R26,Pasta Alfredo,Continental,4,? 320.00," ? 1,280.00 ", ? 249.00 ,? 284.00,The Pasta Alfredo met my expectations.
O00099,10-02-2024,10:00,C0130,Aakib Shikalkar,R84,Chicken Clear Soup,Starter,5,? 160.00, ? 800.00 , ? 125.00 ,? 175.00,Wasn't very impressed with the Chicken Clear Soup. It lacked flavor.
O00100,10-02-2024,19:30,C0109,Aman Mujawar,R133,Club Sandwich,Sandwiches,5,? 160.00, ? 800.00 , ? 119.00 ,? 205.00,The Club Sandwich could have been better.
O00101,10-02-2024,21:45,C0327,Abdul Rahim Mujawar,R141,Chicken Frankie,Street Food,5,? 150.00, ? 750.00 , ? 112.00 ,? 190.00,Great food! The Chicken Frankie was delicious and well-prepared.
O00102,10-02-2024,11:45,C0014,Arman Faruqi,R164,Mutton Seekh Kebab Roll,Snacks,4,? 170.00, ? 680.00 , ? 132.00 ,? 152.00,The Mutton Seekh Kebab Roll was fine.
O00103,10-02-2024,21:15,C0305,Aasin Faruqi,R62,Dal Makhani,Vegetarian,1,? 340.00, ? 340.00 , ? 269.00 ,? 71.00,The vegetables in the Dal Makhani seemed overcooked.
O00104,11-02-2024,20:00,C0317,Rihan Azam,R38,Biryani Veg,Rice & Noodles,5,? 320.00," ? 1,600.00 ", ? 233.00 ,? 435.00,Great food! The Biryani Veg was delicious and well-prepared.
O00105,11-02-2024,20:00,C0223,Anis Sayyad,R152,Chicken Kathi Roll,Snacks,4,? 120.00, ? 480.00 , ? 91.00 ,? 116.00,A satisfying meal. The Chicken Kathi Roll was a good choice.
O00106,11-02-2024,18:45,C0084,Imran Momin,R14,Rasgulla,Dessert,3,? 140.00, ? 420.00 , ? 100.00 ,? 120.00,A satisfying meal. The Rasgulla was a good choice.
O00107,11-02-2024,16:00,C0276,Wahaj Faruqi,R155,Tuna Melt Sandwich,Snacks,3,? 140.00, ? 420.00 , ? 100.00 ,? 120.00,Great food! The Tuna Melt Sandwich was delicious and well-prepared.
O00108,11-02-2024,17:45,C0264,Abdul Rahim Mujawar,R80,Hot & Sour Soup (Chicken),Starter,1,? 200.00, ? 200.00 , ? 159.00 ,? 41.00,"The Hot & Sour Soup (Chicken) was decent, but nothing special."
O00109,11-02-2024,21:45,C0009,Shamsher Khan,R21,Chicken Fried Rice,Rice & Noodles,1,? 240.00, ? 240.00 , ? 182.00 ,? 58.00,I was not a fan of the Chicken Fried Rice.
O00110,11-02-2024,19:00,C0144,Aasifa Mujawar,R26,Pasta Alfredo,Continental,3,? 320.00, ? 960.00 , ? 249.00 ,? 213.00,The Pasta Alfredo was excellent. Really enjoyed the meal.
O00111,11-02-2024,15:15,C0228,Isharat Momin,R33,Fish Curry,Non-Veg Main,3,? 400.00," ? 1,200.00 ", ? 286.00 ,? 342.00,A truly authentic and flavorful Fish Curry. It was very satisfying.
O00112,12-02-2024,22:00,C0040,Moh Saad Nadaf,R145,Chicken Shawarma,Street Food,2,? 170.00, ? 340.00 , ? 131.00 ,? 78.00,Great food! The Chicken Shawarma was delicious and well-prepared.
O00113,12-02-2024,17:30,C0092,Sultan Shaikh,R112,Non-Veg Thali,Meal Combo,2,? 440.00, ? 880.00 , ? 322.00 ,? 236.00,A satisfying meal. The Non-Veg Thali was a good choice.
O00114,12-02-2024,22:45,C0054,Shamsher Ali,R166,Smoked Chicken Sub,Snacks,2,? 160.00, ? 320.00 , ? 112.00 ,? 96.00,Great food! The Smoked Chicken Sub was delicious and well-prepared.
O00115,12-02-2024,22:00,C0142,Abdul Rahim Nadaf,R85,Veg Momos,Starter,3,? 180.00, ? 540.00 , ? 138.00 ,? 126.00,The Veg Momos was simply delicious and fresh. Highly recommended!
O00116,12-02-2024,14:45,C0215,Ayeza Faruqi,R154,Egg Mayo Sandwich,Snacks,5,? 85.00, ? 425.00 , ? 66.00 ,? 95.00,The Egg Mayo Sandwich was excellent. Really enjoyed the meal.
O00117,12-02-2024,14:00,C0012,Abdul Rahim Malik,R133,Club Sandwich,Sandwiches,3,? 160.00, ? 480.00 , ? 119.00 ,? 123.00,A satisfying meal. The Club Sandwich was a good choice.
O00118,12-02-2024,13:15,C0160,Shahrukh Malik,R152,Chicken Kathi Roll,Snacks,4,? 120.00, ? 480.00 , ? 91.00 ,? 116.00,The Chicken Kathi Roll was fine.
O00119,12-02-2024,15:30,C0109,Aman Mujawar,R166,Smoked Chicken Sub,Snacks,3,? 160.00, ? 480.00 , ? 112.00 ,? 144.00,The Smoked Chicken Sub met my expectations.
O00120,12-02-2024,11:15,C0271,Aasiya Mujawar,R36,Chole Bhature,Vegetarian,3,? 280.00, ? 840.00 , ? 223.00 ,? 171.00,A wholesome and delicious Chole Bhature. The vegetables were so fresh!
O00121,12-02-2024,17:45,C0040,Moh Saad Nadaf,R47,Hyderabadi Haleem,Non-Veg Main,2,? 500.00," ? 1,000.00 ", ? 395.00 ,? 210.00,The Hyderabadi Haleem was the highlight of our meal. Absolutely delicious!
O00122,12-02-2024,15:15,C0219,Isharat Nadaf,R165,Paneer Tandoori Wrap,Snacks,5,? 120.00, ? 600.00 , ? 94.00 ,? 130.00,Great food! The Paneer Tandoori Wrap was delicious and well-prepared.
O00123,13-02-2024,21:45,C0320,Sultan Momin,R28,Caesar Salad,Salad,5,? 280.00," ? 1,400.00 ", ? 210.00 ,? 350.00,A satisfying meal. The Caesar Salad was a good choice.
O00124,13-02-2024,18:15,C0319,Sultan Raes,R73,Chili Paneer,Starter,4,? 280.00," ? 1,120.00 ", ? 219.00 ,? 244.00,The Chili Paneer was a fantastic start to our meal! Perfectly crispy.
O00125,13-02-2024,22:15,C0102,Aasifa Taimoor,R22,Paneer Tikka,Starter,5,? 280.00," ? 1,400.00 ", ? 199.00 ,? 405.00,The Paneer Tikka was simply delicious and fresh. Highly recommended!
O00126,13-02-2024,13:00,C0310,Ayeza Faruqi,R29,Greek Salad,Salad,3,? 260.00, ? 780.00 , ? 197.00 ,? 189.00,The Greek Salad was fine.
O00127,13-02-2024,12:15,C0138,Wahaj Taimoor,R2,Mushroom Soup,Starter,2,? 200.00, ? 400.00 , ? 159.00 ,? 82.00,The Mushroom Soup was simply delicious and fresh. Highly recommended!
O00128,13-02-2024,18:30,C0028,Aakib Faruqi,R119,Misal Pav,Snack,1,? 160.00, ? 160.00 , ? 126.00 ,? 34.00,A satisfying meal. The Misal Pav was a good choice.
O00129,13-02-2024,16:00,C0013,Aariz Raes,R38,Biryani Veg,Rice & Noodles,4,? 320.00," ? 1,280.00 ", ? 233.00 ,? 348.00,The Biryani Veg was not what I expected.
O00130,13-02-2024,22:45,C0013,Aariz Raes,R149,Paneer Parantha,Breads,5,? 90.00, ? 450.00 , ? 64.00 ,? 130.00,It was an average Paneer Parantha.
O00131,13-02-2024,13:15,C0131,Aasin Ali,R45,Medu Vada,Vegetarian,1,? 150.00, ? 150.00 , ? 112.00 ,? 38.00,A wholesome and delicious Medu Vada. The vegetables were so fresh!
O00132,13-02-2024,16:15,C0271,Aasiya Mujawar,R103,Fish Curry (Goan),Main Course,5,? 380.00," ? 1,900.00 ", ? 289.00 ,? 455.00,A satisfying meal. The Fish Curry (Goan) was a good choice.
O00133,14-02-2024,20:45,C0053,Shahrukh Taimoor,R52,Bhindi Masala,Vegetarian,2,? 240.00, ? 480.00 , ? 175.00 ,? 130.00,A wholesome and delicious Bhindi Masala. The vegetables were so fresh!
O00134,14-02-2024,13:45,C0240,Sultan Ali,R52,Bhindi Masala,Vegetarian,3,? 240.00, ? 720.00 , ? 175.00 ,? 195.00,The Bhindi Masala was a decent vegetarian option.
