,Unnamed: 0,OrderID,OrderDate,OrderTime,CustomerID,CustomerName,DishID,DishName,Category,Quantity,Price,Revenue,CostPrice,Profit,Feedback
33,33,O00034,04-02-2024,17:45,C0083,Isharat Mujawar,16,Ice Cream Sundae,Dessert,3,? 200.00, ? 600.00 , ? 143.00 ,? 171.00,The Ice Cream Sundae could have been better.
34,34,O00035,04-02-2024,17:30,C0326,Aman Sayyad,11,Margherita Pizza,Pizza,3,? 330.00, ? 990.00 , ? 231.00 ,? 297.00,The Margherita Pizza could have been better.
35,35,O00036,04-02-2024,16:45,C0250,Isharat Azam,43,Onion Uttapam,Vegetarian,4,? 160.00, ? 640.00 , ? 112.00 ,? 192.00,The vegetables in the Onion Uttapam seemed overcooked.
36,36,O00037,04-02-2024,21:30,C0183,Imran Mujawar,21,Chicken Fried Rice,Rice & Noodles,3,? 240.00, ? 720.00 , ? 182.00 ,? 174.00,I was not a fan of the Chicken Fried Rice.
37,37,O00038,04-02-2024,17:45,C0023,Shamsher Faruqi,81,Biryani (Veg),Rice,1,? 320.00, ? 320.00 , ? 251.00 ,? 69.00,I was not a fan of the Biryani (Veg).
38,38,O00039,04-02-2024,17:00,C0105,Aakib Nadaf,56,Dal Makhani,Vegetarian,1,? 340.00, ? 340.00 , ? 269.00 ,? 71.00,Loved the Dal Makhani! It was a delightful and well-prepared vegetarian meal.
39,39,O00040,05-02-2024,21:00,C0197,Arahan Ali,59,Veg Manchurian,Starter,3,? 240.00, ? 720.00 , ? 169.00 ,? 213.00,Absolutely loved the Veg Manchurian! It was the perfect appetizer to get us started.
40,40,O00041,05-02-2024,16:30,C0320,Sultan Momin,87,Uttapam,South Indian,3,? 220.00, ? 660.00 , ? 170.00 ,? 150.00,The Uttapam was not what I expected.
41,41,O00042,05-02-2024,21:30,C0175,Aasiya Momin,12,Veggie Burger,Burger,4,? 250.00," ? 1,000.00 ", ? 199.00 ,? 204.00,The Veggie Burger was not what I expected.
42,42,O00043,05-02-2024,16:00,C0281,Abdul Rahim Faruqi,79,Fried Momos (Chicken),Starter,2,? 240.00, ? 480.00 , ? 176.00 ,? 128.00,The Fried Momos (Chicken) was okay. It was a standard appetizer.
43,43,O00044,05-02-2024,12:45,C0181,Aman Khan,37,Biryani Veg,Rice & Noodles,5,? 320.00," ? 1,600.00 ", ? 233.00 ,? 435.00,Great food! The Biryani Veg was delicious and well-prepared.
44,44,O00045,05-02-2024,21:30,C0169,Anis Taimoor,91,Chana Masala,Main Course,1,? 260.00, ? 260.00 , ? 185.00 ,? 75.00,It was an average Chana Masala.
45,45,O00046,05-02-2024,17:15,C0268,Ayeza Azam,53,Veg Pulao,Rice & Noodles,5,? 240.00," ? 1,200.00 ", ? 190.00 ,? 250.00,The Veg Pulao met my expectations.
46,46,O00047,05-02-2024,14:15,C0102,Aasifa Taimoor,61,Veg Spring Rolls,Starter,5,? 220.00," ? 1,100.00 ", ? 162.00 ,? 290.00,The Veg Spring Rolls was simply delicious and fresh. Highly recommended!
47,47,O00048,05-02-2024,13:30,C0273,Aasin Mujawar,7,Butter Chicken,Meat Special,3,? 495.00," ? 1,485.00 ", ? 349.00 ,? 438.00,It was an average Butter Chicken.
48,48,O00049,05-02-2024,21:15,C0034,Anis Raes,125,BBQ Chicken Pizza Sandwich,Snacks,1,? 160.00, ? 160.00 , ? 115.00 ,? 45.00,Great food! The BBQ Chicken Pizza Sandwich was delicious and well-prepared.
49,49,O00050,05-02-2024,17:15,C0233,Moh Saad Nadaf,117,Egg Mayo Sandwich,Snacks,1,? 85.00, ? 85.00 , ? 66.00 ,? 19.00,I was not a fan of the Egg Mayo Sandwich.
50,50,O00051,05-02-2024,21:45,C0068,Abdul Rahim Shaikh,9,Palak Paneer,Vegetarian,4,? 360.00," ? 1,440.00 ", ? 273.00 ,? 348.00,The Palak Paneer is a great choice for vegetarians. Hearty and full of flavor.
51,51,O00052,06-02-2024,15:15,C0132,Sultan Momin,48,Baingan Bharta,Vegetarian,2,? 260.00, ? 520.00 , ? 195.00 ,? 130.00,The Baingan Bharta was as expected.
52,52,O00053,06-02-2024,16:15,C0262,Nikhat Faruqi,75,Veg Momos,Starter,3,? 180.00, ? 540.00 , ? 138.00 ,? 126.00,Absolutely loved the Veg Momos! It was the perfect appetizer to get us started.
53,53,O00054,06-02-2024,14:00,C0169,Anis Taimoor,40,Idli Sambar,Vegetarian,5,? 160.00, ? 800.00 , ? 119.00 ,? 205.00,A wholesome and delicious Idli Sambar. The vegetables were so fresh!
54,54,O00055,06-02-2024,19:45,C0295,Sultan Taimoor,100,Veg Wrap,Sandwiches,4,? 130.00, ? 520.00 , ? 92.00 ,? 152.00,The Veg Wrap could have been better.
55,55,O00056,06-02-2024,11:15,C0252,Moh Saad Faruqi,37,Biryani Veg,Rice & Noodles,5,? 320.00," ? 1,600.00 ", ? 233.00 ,? 435.00,The Biryani Veg was excellent. Really enjoyed the meal.
56,56,O00057,06-02-2024,22:30,C0228,Isharat Momin,82,Fish Curry (Goan),Main Course,3,? 380.00," ? 1,140.00 ", ? 289.00 ,? 273.00,The Fish Curry (Goan) was excellent. Really enjoyed the meal.
57,57,O00058,07-02-2024,21:15,C0095,Aakib Azam,80,Tandoori Momos,Starter,5,? 260.00," ? 1,300.00 ", ? 185.00 ,? 375.00,The Tandoori Momos was a fantastic start to our meal! Perfectly crispy.
58,58,O00059,07-02-2024,15:30,C0126,Aakib Momin,65,Schezwan Fried Rice,Rice & Noodles,5,? 220.00," ? 1,100.00 ", ? 160.00 ,? 300.00,Great food! The Schezwan Fried Rice was delicious and well-prepared.
59,59,O00060,07-02-2024,19:15,C0297,Wahaj Ali,3,Chicken Soup,Starter,1,? 220.00, ? 220.00 , ? 170.00 ,? 50.00,Wasn't very impressed with the Chicken Soup. It lacked flavor.
60,60,O00061,07-02-2024,14:15,C0245,Wahaj Taimoor,42,Medu Vada,Vegetarian,1,? 150.00, ? 150.00 , ? 112.00 ,? 38.00,"It was an okay Medu Vada, but I've had better."
61,61,O00062,07-02-2024,16:00,C0079,Shahrukh Faruqi,106,Chicken Burger,Fast Food,2,? 160.00, ? 320.00 , ? 115.00 ,? 90.00,The Chicken Burger was excellent. Really enjoyed the meal.
62,62,O00063,07-02-2024,20:15,C0113,Ayeza Momin,73,Veg Clear Soup,Starter,5,? 120.00, ? 600.00 , ? 84.00 ,? 180.00,The Veg Clear Soup was a fantastic start to our meal! Perfectly crispy.
63,63,O00064,07-02-2024,14:00,C0038,Moh Saad Malik,93,Matar Paneer,Main Course,2,? 340.00, ? 680.00 , ? 263.00 ,? 154.00,The Matar Paneer could have been better.
64,64,O00065,07-02-2024,18:15,C0102,Aasifa Taimoor,98,Paneer Kathi Roll,Street Food,5,? 140.00, ? 700.00 , ? 103.00 ,? 185.00,I was not a fan of the Paneer Kathi Roll.
65,65,O00066,07-02-2024,22:30,C0236,Aakib Khan,110,Paneer Sandwich,Sandwiches,1,? 120.00, ? 120.00 , ? 84.00 ,? 36.00,The Paneer Sandwich met my expectations.
66,66,O00067,07-02-2024,17:00,C0244,Arahan Raes,95,Garlic Naan,Breads,5,? 70.00, ? 350.00 , ? 54.00 ,? 80.00,Great food! The Garlic Naan was delicious and well-prepared.
67,67,O00068,07-02-2024,11:30,C0176,Abdul Rahim Shikalkar,62,Chicken Spring Rolls,Starter,1,? 260.00, ? 260.00 , ? 189.00 ,? 71.00,The Chicken Spring Rolls was a bit too oily for my liking.
68,68,O00069,07-02-2024,12:15,C0041,Aakib Shaikh,60,Chicken Manchurian,Starter,1,? 280.00, ? 280.00 , ? 205.00 ,? 75.00,The Chicken Manchurian was simply delicious and fresh. Highly recommended!
69,69,O00070,07-02-2024,20:45,C0290,Isharat Raes,94,Butter Naan,Breads,1,? 60.00, ? 60.00 , ? 45.00 ,? 15.00,It was an average Butter Naan.
70,70,O00071,08-02-2024,22:30,C0153,Nikhat Malik,46,Kadai Paneer,Vegetarian,5,? 360.00," ? 1,800.00 ", ? 275.00 ,? 425.00,The Kadai Paneer was a decent vegetarian option.
71,71,O00072,08-02-2024,11:45,C0206,Aariz Faruqi,59,Veg Manchurian,Starter,3,? 240.00, ? 720.00 , ? 169.00 ,? 213.00,Wasn't very impressed with the Veg Manchurian. It lacked flavor.
72,72,O00073,08-02-2024,11:15,C0326,Aman Sayyad,18,Veg Hakka Noodles,Rice & Noodles,4,? 220.00, ? 880.00 , ? 165.00 ,? 220.00,A satisfying meal. The Veg Hakka Noodles was a good choice.
73,73,O00074,08-02-2024,11:00,C0187,Aasin Nadaf,117,Egg Mayo Sandwich,Snacks,2,? 85.00, ? 170.00 , ? 66.00 ,? 38.00,The Egg Mayo Sandwich was excellent. Really enjoyed the meal.
74,74,O00075,08-02-2024,12:15,C0153,Nikhat Malik,88,Vada Pav,Snack,4,? 120.00, ? 480.00 , ? 91.00 ,? 116.00,The Vada Pav was fine.
75,75,O00076,08-02-2024,20:45,C0109,Aman Mujawar,56,Dal Makhani,Vegetarian,5,? 340.00," ? 1,700.00 ", ? 269.00 ,? 355.00,A wholesome and delicious Dal Makhani. The vegetables were so fresh!
76,76,O00077,08-02-2024,11:00,C0091,Aasin Nadaf,69,Hot & Sour Soup (Veg),Starter,2,? 160.00, ? 320.00 , ? 113.00 ,? 94.00,The Hot & Sour Soup (Veg) was a fantastic start to our meal! Perfectly crispy.
77,77,O00078,08-02-2024,22:00,C0080,Sher Khan,53,Veg Pulao,Rice & Noodles,1,? 240.00, ? 240.00 , ? 190.00 ,? 50.00,The Veg Pulao was not what I expected.
78,78,O00079,08-02-2024,18:45,C0153,Nikhat Malik,76,Chicken Momos,Starter,4,? 220.00, ? 880.00 , ? 170.00 ,? 200.00,Absolutely loved the Chicken Momos! It was the perfect appetizer to get us started.
79,79,O00080,08-02-2024,18:15,C0124,Arahan Shaikh,78,Fried Momos (Veg),Starter,3,? 200.00, ? 600.00 , ? 141.00 ,? 177.00,The Fried Momos (Veg) was simply delicious and fresh. Highly recommended!
80,80,O00081,08-02-2024,18:30,C0190,Rihan Raes,35,Chole Bhature,Vegetarian,1,? 280.00, ? 280.00 , ? 223.00 ,? 57.00,The Chole Bhature is a great choice for vegetarians. Hearty and full of flavor.
81,81,O00082,08-02-2024,14:15,C0195,Aasin Malik,45,Egg Curry,Non-Veg Main,2,? 280.00, ? 560.00 , ? 203.00 ,? 154.00,The Egg Curry was the highlight of our meal. Absolutely delicious!
82,82,O00083,08-02-2024,17:00,C0135,Danish Azam,37,Biryani Veg,Rice & Noodles,2,? 320.00, ? 640.00 , ? 233.00 ,? 174.00,A satisfying meal. The Biryani Veg was a good choice.
83,83,O00084,09-02-2024,20:45,C0215,Ayeza Faruqi,128,Paneer Tandoori Wrap,Snacks,5,? 120.00, ? 600.00 , ? 94.00 ,? 130.00,The Paneer Tandoori Wrap met my expectations.
84,84,O00085,09-02-2024,18:30,C0214,Nikhat Taimoor,63,Chili Paneer,Starter,4,? 280.00," ? 1,120.00 ", ? 219.00 ,? 244.00,Absolutely loved the Chili Paneer! It was the perfect appetizer to get us started.
85,85,O00086,09-02-2024,11:45,C0165,Dua Sayyad,30,Shahi Paneer,Vegetarian,3,? 400.00," ? 1,200.00 ", ? 281.00 ,? 357.00,The Shahi Paneer is a great choice for vegetarians. Hearty and full of flavor.
86,86,O00087,09-02-2024,13:30,C0172,Ayeza Shaikh,90,Pani Puri,Snack,5,? 100.00, ? 500.00 , ? 74.00 ,? 130.00,The Pani Puri was fine.
87,87,O00088,09-02-2024,12:45,C0022,Aasiya Ali,87,Uttapam,South Indian,5,? 220.00," ? 1,100.00 ", ? 170.00 ,? 250.00,Great food! The Uttapam was delicious and well-prepared.
88,88,O00089,09-02-2024,18:15,C0185,Nikhat Shikalkar,9,Palak Paneer,Vegetarian,1,? 360.00, ? 360.00 , ? 273.00 ,? 87.00,The Palak Paneer was bland and needed more seasoning.
89,89,O00090,09-02-2024,17:45,C0067,Sultan Ali,59,Veg Manchurian,Starter,4,? 240.00, ? 960.00 , ? 169.00 ,? 284.00,The Veg Manchurian was simply delicious and fresh. Highly recommended!
90,90,O00091,09-02-2024,12:30,C0055,Sultan Momin,81,Biryani (Veg),Rice,4,? 320.00," ? 1,280.00 ", ? 251.00 ,? 276.00,The Biryani (Veg) was excellent. Really enjoyed the meal.
91,91,O00092,10-02-2024,15:45,C0097,Isharat Taimoor,97,Grilled Cheese Sandwich,Sandwiches,2,? 120.00, ? 240.00 , ? 90.00 ,? 60.00,The Grilled Cheese Sandwich was not what I expected.
92,92,O00093,10-02-2024,14:00,C0014,Arman Faruqi,52,Chicken Tikka Masala,Non-Veg Main,4,? 480.00," ? 1,920.00 ", ? 373.00 ,? 428.00,Felt that the Chicken Tikka Masala was overpriced for its quality.
93,93,O00094,10-02-2024,22:00,C0288,Anis Shikalkar,35,Chole Bhature,Vegetarian,4,? 280.00," ? 1,120.00 ", ? 223.00 ,? 228.00,The vegetables in the Chole Bhature seemed overcooked.
94,94,O00095,10-02-2024,20:30,C0235,Abdul Rahim Malik,40,Idli Sambar,Vegetarian,5,? 160.00, ? 800.00 , ? 119.00 ,? 205.00,The Idli Sambar was a decent vegetarian option.
95,95,O00096,10-02-2024,17:45,C0330,Kaif Momin,78,Fried Momos (Veg),Starter,1,? 200.00, ? 200.00 , ? 141.00 ,? 59.00,The Fried Momos (Veg) was okay. It was a standard appetizer.
96,96,O00097,10-02-2024,11:30,C0145,Imran Khan,89,Misal Pav,Snack,3,? 160.00, ? 480.00 , ? 126.00 ,? 102.00,A satisfying meal. The Misal Pav was a good choice.
97,97,O00098,10-02-2024,20:45,C0039,Aasifa Shaikh,26,Pasta Alfredo,Continental,4,? 320.00," ? 1,280.00 ", ? 249.00 ,? 284.00,The Pasta Alfredo met my expectations.
98,98,O00099,10-02-2024,10:00,C0130,Aakib Shikalkar,74,Chicken Clear Soup,Starter,5,? 160.00, ? 800.00 , ? 125.00 ,? 175.00,Wasn't very impressed with the Chicken Clear Soup. It lacked flavor.
99,99,O00100,10-02-2024,19:30,C0109,Aman Mujawar,96,Club Sandwich,Sandwiches,5,? 160.00, ? 800.00 , ? 119.00 ,? 205.00,The Club Sandwich could have been better.
100,100,O00101,10-02-2024,21:45,C0327,Abdul Rahim Mujawar,104,Chicken Frankie,Street Food,5,? 150.00, ? 750.00 , ? 112.00 ,? 190.00,Great food! The Chicken Frankie was delicious and well-prepared.
101,101,O00102,10-02-2024,11:45,C0014,Arman Faruqi,127,Mutton Seekh Kebab Roll,Snacks,4,? 170.00, ? 680.00 , ? 132.00 ,? 152.00,The Mutton Seekh Kebab Roll was fine.
102,102,O00103,10-02-2024,21:15,C0305,Aasin Faruqi,56,Dal Makhani,Vegetarian,1,? 340.00, ? 340.00 , ? 269.00 ,? 71.00,The vegetables in the Dal Makhani seemed overcooked.
103,103,O00104,11-02-2024,20:00,C0317,Rihan Azam,37,Biryani Veg,Rice & Noodles,5,? 320.00," ? 1,600.00 ", ? 233.00 ,? 435.00,Great food! The Biryani Veg was delicious and well-prepared.
104,104,O00105,11-02-2024,20:00,C0223,Anis Sayyad,115,Chicken Kathi Roll,Snacks,4,? 120.00, ? 480.00 , ? 91.00 ,? 116.00,A satisfying meal. The Chicken Kathi Roll was a good choice.
105,105,O00106,11-02-2024,18:45,C0084,Imran Momin,14,Rasgulla,Dessert,3,? 140.00, ? 420.00 , ? 100.00 ,? 120.00,A satisfying meal. The Rasgulla was a good choice.
106,106,O00107,11-02-2024,16:00,C0276,Wahaj Faruqi,118,Tuna Melt Sandwich,Snacks,3,? 140.00, ? 420.00 , ? 100.00 ,? 120.00,Great food! The Tuna Melt Sandwich was delicious and well-prepared.
107,107,O00108,11-02-2024,17:45,C0264,Abdul Rahim Mujawar,70,Hot & Sour Soup (Chicken),Starter,1,? 200.00, ? 200.00 , ? 159.00 ,? 41.00,"The Hot & Sour Soup (Chicken) was decent, but nothing special."
108,108,O00109,11-02-2024,21:45,C0009,Shamsher Khan,21,Chicken Fried Rice,Rice & Noodles,1,? 240.00, ? 240.00 , ? 182.00 ,? 58.00,I was not a fan of the Chicken Fried Rice.
109,109,O00110,11-02-2024,19:00,C0144,Aasifa Mujawar,26,Pasta Alfredo,Continental,3,? 320.00, ? 960.00 , ? 249.00 ,? 213.00,The Pasta Alfredo was excellent. Really enjoyed the meal.
110,110,O00111,11-02-2024,15:15,C0228,Isharat Momin,32,Fish Curry,Non-Veg Main,3,? 400.00," ? 1,200.00 ", ? 286.00 ,? 342.00,A truly authentic and flavorful Fish Curry. It was very satisfying.
111,111,O00112,12-02-2024,22:00,C0040,Moh Saad Nadaf,108,Chicken Shawarma,Street Food,2,? 170.00, ? 340.00 , ? 131.00 ,? 78.00,Great food! The Chicken Shawarma was delicious and well-prepared.
112,112,O00113,12-02-2024,17:30,C0092,Sultan Shaikh,86,Non-Veg Thali,Meal Combo,2,? 440.00, ? 880.00 , ? 322.00 ,? 236.00,A satisfying meal. The Non-Veg Thali was a good choice.
113,113,O00114,12-02-2024,22:45,C0054,Shamsher Ali,129,Smoked Chicken Sub,Snacks,2,? 160.00, ? 320.00 , ? 112.00 ,? 96.00,Great food! The Smoked Chicken Sub was delicious and well-prepared.
114,114,O00115,12-02-2024,22:00,C0142,Abdul Rahim Nadaf,75,Veg Momos,Starter,3,? 180.00, ? 540.00 , ? 138.00 ,? 126.00,The Veg Momos was simply delicious and fresh. Highly recommended!
115,115,O00116,12-02-2024,14:45,C0215,Ayeza Faruqi,117,Egg Mayo Sandwich,Snacks,5,? 85.00, ? 425.00 , ? 66.00 ,? 95.00,The Egg Mayo Sandwich was excellent. Really enjoyed the meal.
116,116,O00117,12-02-2024,14:00,C0012,Abdul Rahim Malik,96,Club Sandwich,Sandwiches,3,? 160.00, ? 480.00 , ? 119.00 ,? 123.00,A satisfying meal. The Club Sandwich was a good choice.
117,117,O00118,12-02-2024,13:15,C0160,Shahrukh Malik,115,Chicken Kathi Roll,Snacks,4,? 120.00, ? 480.00 , ? 91.00 ,? 116.00,The Chicken Kathi Roll was fine.
118,118,O00119,12-02-2024,15:30,C0109,Aman Mujawar,129,Smoked Chicken Sub,Snacks,3,? 160.00, ? 480.00 , ? 112.00 ,? 144.00,The Smoked Chicken Sub met my expectations.
119,119,O00120,12-02-2024,11:15,C0271,Aasiya Mujawar,35,Chole Bhature,Vegetarian,3,? 280.00, ? 840.00 , ? 223.00 ,? 171.00,A wholesome and delicious Chole Bhature. The vegetables were so fresh!
120,120,O00121,12-02-2024,17:45,C0040,Moh Saad Nadaf,44,Hyderabadi Haleem,Non-Veg Main,2,? 500.00," ? 1,000.00 ", ? 395.00 ,? 210.00,The Hyderabadi Haleem was the highlight of our meal. Absolutely delicious!
121,121,O00122,12-02-2024,15:15,C0219,Isharat Nadaf,128,Paneer Tandoori Wrap,Snacks,5,? 120.00, ? 600.00 , ? 94.00 ,? 130.00,Great food! The Paneer Tandoori Wrap was delicious and well-prepared.
122,122,O00123,13-02-2024,21:45,C0320,Sultan Momin,28,Caesar Salad,Salad,5,? 280.00," ? 1,400.00 ", ? 210.00 ,? 350.00,A satisfying meal. The Caesar Salad was a good choice.
123,123,O00124,13-02-2024,18:15,C0319,Sultan Raes,63,Chili Paneer,Starter,4,? 280.00," ? 1,120.00 ", ? 219.00 ,? 244.00,The Chili Paneer was a fantastic start to our meal! Perfectly crispy.
124,124,O00125,13-02-2024,22:15,C0102,Aasifa Taimoor,22,Paneer Tikka,Starter,5,? 280.00," ? 1,400.00 ", ? 199.00 ,? 405.00,The Paneer Tikka was simply delicious and fresh. Highly recommended!
125,125,O00126,13-02-2024,13:00,C0310,Ayeza Faruqi,29,Greek Salad,Salad,3,? 260.00, ? 780.00 , ? 197.00 ,? 189.00,The Greek Salad was fine.
126,126,O00127,13-02-2024,12:15,C0138,Wahaj Taimoor,2,Mushroom Soup,Starter,2,? 200.00, ? 400.00 , ? 159.00 ,? 82.00,The Mushroom Soup was simply delicious and fresh. Highly recommended!
127,127,O00128,13-02-2024,18:30,C0028,Aakib Faruqi,89,Misal Pav,Snack,1,? 160.00, ? 160.00 , ? 126.00 ,? 34.00,A satisfying meal. The Misal Pav was a good choice.
128,128,O00129,13-02-2024,16:00,C0013,Aariz Raes,37,Biryani Veg,Rice & Noodles,4,? 320.00," ? 1,280.00 ", ? 233.00 ,? 348.00,The Biryani Veg was not what I expected.
129,129,O00130,13-02-2024,22:45,C0013,Aariz Raes,112,Paneer Parantha,Breads,5,? 90.00, ? 450.00 , ? 64.00 ,? 130.00,It was an average Paneer Parantha.
130,130,O00131,13-02-2024,13:15,C0131,Aasin Ali,42,Medu Vada,Vegetarian,1,? 150.00, ? 150.00 , ? 112.00 ,? 38.00,A wholesome and delicious Medu Vada. The vegetables were so fresh!
