Order_ID,Customer_Name,Phone_Number,Email,State,City,Pincode,Menu_Item,Quantity,Price_Per_Item,Order_Date,Delivery_Mode,Payment_Method,Order_Status,Total_Price
ONL00061,Customer_61,+919191563152,customer61@example.com,Arunachal Pradesh,City_31,191511,Veg Pulao,3,378,2025-05-20,Home Delivery,UPI,Pending,1134
ONL00062,Customer_62,+917744853626,customer62@example.com,Haryana,City_41,159741,Masala Dosa,1,469,2025-05-09,Pickup,Credit Card,Delivered,469
ONL00063,Customer_63,+917681564417,customer63@example.com,Punjab,City_35,711005,Chole Bhature,3,254,2025-07-15,Pickup,Credit Card,Out for Delivery,762
ONL00064,Customer_64,+918419124478,customer64@example.com,Telangana,City_28,542669,Pav Bhaji,3,299,2025-01-24,Home Delivery,UPI,Out for Delivery,897
ONL00065,Customer_65,+918312312467,customer65@example.com,Tripura,City_28,503461,Rogan Josh,3,200,2025-01-19,Home Delivery,UPI,Out for Delivery,600
ONL00066,Customer_66,+918020590060,customer66@example.com,Nagaland,City_46,132206,Masala Dosa,3,376,2025-01-14,Pickup,Net Banking,Pending,1128
ONL00067,Customer_67,+918786854608,customer67@example.com,Goa,City_50,942144,Momos,3,409,2025-02-18,Pickup,Debit Card,Out for Delivery,1227
ONL00068,Customer_68,+919325254068,customer68@example.com,Mizoram,City_23,106122,Veg Pulao,5,377,2025-07-19,Pickup,Debit Card,Preparing,1885
ONL00069,Customer_69,+917191354490,customer69@example.com,Assam,City_41,760109,Pav Bhaji,2,479,2025-01-16,Home Delivery,Net Banking,Preparing,958
ONL00070,Customer_70,+918665238805,customer70@example.com,Punjab,City_47,748274,Masala Dosa,3,282,2025-07-09,Pickup,Net Banking,Cancelled,846
ONL00071,Customer_71,+918087112851,customer71@example.com,Chhattisgarh,City_8,215669,Masala Dosa,4,403,2025-06-30,Pickup,Cash on Delivery,Out for Delivery,1612
ONL00072,Customer_72,+916266673334,customer72@example.com,Meghalaya,City_5,972677,Paneer Butter Masala,4,440,2025-07-16,Home Delivery,UPI,Cancelled,1760
ONL00073,Customer_73,+918833819959,customer73@example.com,Assam,City_35,818242,Idli Sambar,3,269,2025-05-21,Home Delivery,Net Banking,Out for Delivery,807
ONL00074,Customer_74,+916304568226,customer74@example.com,Uttarakhand,City_9,319159,Rogan Josh,4,210,2025-01-18,Pickup,Net Banking,Out for Delivery,840
ONL00075,Customer_75,+917111063212,customer75@example.com,Madhya Pradesh,City_26,574824,Momos,1,432,2025-05-05,Pickup,Debit Card,Preparing,432
ONL00076,Customer_76,+918065936071,customer76@example.com,Assam,City_8,748289,Veg Pulao,2,370,2025-03-03,Pickup,Debit Card,Cancelled,740
ONL00077,Customer_77,+916044473236,customer77@example.com,West Bengal,City_16,841996,Veg Pulao,1,234,2025-02-02,Pickup,Cash on Delivery,Cancelled,234
ONL00078,Customer_78,+916806449830,customer78@example.com,Himachal Pradesh,City_5,214644,Fish Curry,3,415,2025-05-21,Home Delivery,Debit Card,Delivered,1245
ONL00079,Customer_79,+916315639729,customer79@example.com,Bihar,City_8,171925,Pav Bhaji,1,490,2025-05-06,Pickup,Cash on Delivery,Pending,490
ONL00080,Customer_80,+919810234828,customer80@example.com,Haryana,City_1,154784,Rogan Josh,5,429,2025-06-01,Pickup,UPI,Delivered,2145
ONL00081,Customer_81,+919761503221,customer81@example.com,Mizoram,City_10,656069,Chole Bhature,4,193,2025-05-15,Pickup,UPI,Out for Delivery,772
ONL00082,Customer_82,+918523455957,customer82@example.com,Andhra Pradesh,City_33,927229,Chicken Biryani,5,369,2025-06-05,Home Delivery,Cash on Delivery,Cancelled,1845
ONL00083,Customer_83,+916531311661,customer83@example.com,Mizoram,City_14,353088,Pav Bhaji,5,115,2025-03-30,Pickup,Debit Card,Cancelled,575
ONL00084,Customer_84,+918146129402,customer84@example.com,Maharashtra,City_3,495668,Paneer Butter Masala,1,164,2025-01-05,Home Delivery,Debit Card,Delivered,164
ONL00085,Customer_85,+918572081338,customer85@example.com,Assam,City_6,552760,Masala Dosa,5,293,2025-06-14,Home Delivery,Net Banking,Cancelled,1465
ONL00086,Customer_86,+916671532204,customer86@example.com,Tamil Nadu,City_6,613009,Chole Bhature,4,181,2025-03-20,Home Delivery,Net Banking,Pending,724
ONL00087,Customer_87,+916470861046,customer87@example.com,Haryana,City_21,240617,Rogan Josh,5,396,2025-03-16,Pickup,Cash on Delivery,Cancelled,1980
ONL00088,Customer_88,+916154157031,customer88@example.com,Jharkhand,City_6,285012,Chicken Biryani,4,403,2025-02-07,Pickup,UPI,Cancelled,1612
ONL00089,Customer_89,+916779743851,customer89@example.com,Andhra Pradesh,City_15,448590,Fish Curry,4,141,2025-02-24,Pickup,Cash on Delivery,Pending,564
ONL00090,Customer_90,+919941153260,customer90@example.com,Uttarakhand,City_44,294768,Idli Sambar,4,110,2025-03-24,Home Delivery,Debit Card,Delivered,440
ONL00091,Customer_91,+917856501673,customer91@example.com,Madhya Pradesh,City_22,427625,Fish Curry,1,442,2025-03-04,Home Delivery,Net Banking,Pending,442
ONL00092,Customer_92,+918062575736,customer92@example.com,Odisha,City_13,421538,Chole Bhature,5,459,2025-05-31,Pickup,UPI,Cancelled,2295
ONL00093,Customer_93,+918099171061,customer93@example.com,Telangana,City_5,907263,Fish Curry,2,180,2025-05-25,Pickup,Credit Card,Out for Delivery,360
ONL00094,Customer_94,+916717691335,customer94@example.com,Punjab,City_31,922637,Fish Curry,4,487,2025-04-03,Pickup,Cash on Delivery,Preparing,1948
ONL00095,Customer_95,+916073079974,customer95@example.com,Kerala,City_40,193751,Paneer Butter Masala,2,263,2025-03-14,Home Delivery,Debit Card,Delivered,526
ONL00096,Customer_96,+917432332459,customer96@example.com,Jharkhand,City_44,248476,Pav Bhaji,3,141,2025-01-07,Home Delivery,Debit Card,Pending,423
ONL00097,Customer_97,+918785997348,customer97@example.com,Jharkhand,City_45,410993,Idli Sambar,4,256,2025-02-16,Pickup,Cash on Delivery,Cancelled,1024
ONL00098,Customer_98,+918204995352,customer98@example.com,Madhya Pradesh,City_24,579657,Momos,3,214,2025-03-02,Pickup,Cash on Delivery,Out for Delivery,642
ONL00099,Customer_99,+918976655891,customer99@example.com,Manipur,City_36,697682,Paneer Butter Masala,1,453,2025-01-21,Home Delivery,Credit Card,Preparing,453
ONL00100,Customer_100,+917301608139,customer100@example.com,Gujarat,City_32,589611,Veg Pulao,3,221,2025-01-19,Pickup,UPI,Pending,663
ONL00101,Customer_101,+917280303108,customer101@example.com,Sikkim,City_45,725498,Chicken Biryani,5,300,2025-06-26,Pickup,Debit Card,Pending,1500
ONL00102,Customer_102,+916084433420,customer102@example.com,Himachal Pradesh,City_48,900811,Paneer Butter Masala,3,211,2025-02-23,Home Delivery,Net Banking,Pending,633
ONL00103,Customer_103,+916799922860,customer103@example.com,Rajasthan,City_8,542125,Pav Bhaji,2,148,2025-05-22,Home Delivery,Net Banking,Cancelled,296
ONL00104,Customer_104,+917736374119,customer104@example.com,Uttar Pradesh,City_19,564610,Pav Bhaji,5,297,2025-01-26,Pickup,UPI,Cancelled,1485
ONL00105,Customer_105,+917652319230,customer105@example.com,Punjab,City_34,959183,Rogan Josh,4,451,2025-03-18,Home Delivery,Debit Card,Preparing,1804
ONL00106,Customer_106,+919331570597,customer106@example.com,Jharkhand,City_50,133407,Pav Bhaji,4,399,2025-04-04,Pickup,Credit Card,Delivered,1596
ONL00107,Customer_107,+916885342754,customer107@example.com,Arunachal Pradesh,City_19,154525,Paneer Butter Masala,3,464,2025-02-03,Home Delivery,Credit Card,Delivered,1392
ONL00108,Customer_108,+919584937014,customer108@example.com,Puducherry,City_17,386235,Chicken Biryani,4,344,2025-02-18,Pickup,Net Banking,Delivered,1376
ONL00109,Customer_109,+916236817237,customer109@example.com,Sikkim,City_1,807489,Chicken Biryani,1,400,2025-04-10,Home Delivery,Net Banking,Out for Delivery,400
ONL00110,Customer_110,+916645540321,customer110@example.com,Haryana,City_18,693891,Idli Sambar,3,162,2025-01-31,Pickup,Cash on Delivery,Pending,486
ONL00111,Customer_111,+917122478682,customer111@example.com,Bihar,City_14,950913,Veg Pulao,5,207,2025-05-20,Home Delivery,Credit Card,Cancelled,1035
ONL00112,Customer_112,+919544676265,customer112@example.com,Karnataka,City_26,369122,Pav Bhaji,5,257,2025-06-08,Pickup,UPI,Delivered,1285
ONL00113,Customer_113,+917440009891,customer113@example.com,Delhi,City_5,385397,Chole Bhature,4,481,2025-05-17,Home Delivery,Cash on Delivery,Out for Delivery,1924
ONL00114,Customer_114,+918251395707,customer114@example.com,Manipur,City_1,953151,Chole Bhature,3,406,2025-06-28,Pickup,Net Banking,Pending,1218
ONL00115,Customer_115,+919561135375,customer115@example.com,Puducherry,City_3,933383,Chole Bhature,1,395,2025-02-11,Home Delivery,Credit Card,Delivered,395
ONL00116,Customer_116,+919197888487,customer116@example.com,Madhya Pradesh,City_46,231589,Pav Bhaji,3,455,2025-02-06,Home Delivery,UPI,Preparing,1365
ONL00117,Customer_117,+917064229975,customer117@example.com,Karnataka,City_40,600580,Paneer Butter Masala,2,191,2025-06-26,Home Delivery,Cash on Delivery,Cancelled,382
ONL00118,Customer_118,+916279681995,customer118@example.com,Assam,City_11,766443,Chicken Biryani,1,470,2025-03-04,Pickup,Net Banking,Pending,470
ONL00119,Customer_119,+919379511264,customer119@example.com,Tripura,City_2,231267,Paneer Butter Masala,4,202,2025-01-21,Pickup,UPI,Preparing,808
ONL00120,Customer_120,+916439635023,customer120@example.com,Nagaland,City_3,747979,Fish Curry,5,436,2025-01-30,Pickup,Debit Card,Delivered,2180
ONL00121,Customer_121,+916322564676,customer121@example.com,Nagaland,City_1,489474,Paneer Butter Masala,3,317,2025-03-04,Home Delivery,Net Banking,Delivered,951
ONL00122,Customer_122,+919200987164,customer122@example.com,Telangana,City_38,587953,Paneer Butter Masala,2,462,2025-02-11,Home Delivery,Debit Card,Pending,924
ONL00123,Customer_123,+919022117598,customer123@example.com,Mizoram,City_3,407066,Chicken Biryani,5,323,2025-02-14,Home Delivery,Credit Card,Cancelled,1615
ONL00124,Customer_124,+917967962376,customer124@example.com,Kerala,City_30,232021,Veg Pulao,1,245,2025-07-17,Home Delivery,Debit Card,Pending,245
ONL00125,Customer_125,+919479847469,customer125@example.com,Chhattisgarh,City_7,909471,Rogan Josh,4,304,2025-02-16,Home Delivery,Credit Card,Out for Delivery,1216
ONL00126,Customer_126,+917876957764,customer126@example.com,Goa,City_10,219882,Masala Dosa,4,494,2025-04-27,Pickup,Cash on Delivery,Cancelled,1976
ONL00127,Customer_127,+916166364767,customer127@example.com,Karnataka,City_4,759971,Rogan Josh,4,355,2025-04-11,Home Delivery,Debit Card,Preparing,1420
ONL00128,Customer_128,+919113633951,customer128@example.com,Uttar Pradesh,City_6,988916,Chole Bhature,5,364,2025-01-28,Home Delivery,Cash on Delivery,Preparing,1820
ONL00129,Customer_129,+918675529871,customer129@example.com,Karnataka,City_32,886624,Fish Curry,1,219,2025-06-18,Home Delivery,Net Banking,Out for Delivery,219
ONL00130,Customer_130,+916691314539,customer130@example.com,Punjab,City_16,927382,Chole Bhature,4,192,2025-03-28,Home Delivery,Debit Card,Out for Delivery,768
ONL00131,Customer_131,+916122461949,customer131@example.com,Nagaland,City_34,413177,Chole Bhature,5,477,2025-03-16,Pickup,Cash on Delivery,Pending,2385
ONL00132,Customer_132,+919518963409,customer132@example.com,Sikkim,City_23,231304,Pav Bhaji,2,389,2025-01-21,Home Delivery,UPI,Out for Delivery,778
ONL00133,Customer_133,+917670065389,customer133@example.com,Tripura,City_35,550578,Veg Pulao,5,441,2025-06-17,Home Delivery,Net Banking,Cancelled,2205
ONL00134,Customer_134,+919551411329,customer134@example.com,Maharashtra,City_9,977670,Pav Bhaji,4,342,2025-03-26,Pickup,Cash on Delivery,Pending,1368
ONL00135,Customer_135,+916909663060,customer135@example.com,Andhra Pradesh,City_43,328601,Idli Sambar,1,288,2025-06-15,Pickup,Debit Card,Preparing,288
ONL00136,Customer_136,+919408727165,customer136@example.com,Meghalaya,City_4,347343,Chicken Biryani,2,256,2025-02-23,Home Delivery,Cash on Delivery,Preparing,512
ONL00137,Customer_137,+919630789235,customer137@example.com,Punjab,City_42,379229,Chole Bhature,4,132,2025-01-13,Pickup,Debit Card,Preparing,528
ONL00138,Customer_138,+916443106887,customer138@example.com,Himachal Pradesh,City_31,977991,Momos,3,333,2025-01-11,Pickup,Net Banking,Out for Delivery,999
ONL00139,Customer_139,+919026529740,customer139@example.com,Puducherry,City_43,570546,Fish Curry,4,124,2025-07-16,Pickup,Credit Card,Delivered,496
ONL00140,Customer_140,+916416933490,customer140@example.com,Uttarakhand,City_1,149175,Masala Dosa,1,281,2025-04-20,Home Delivery,Cash on Delivery,Pending,281
ONL00141,Customer_141,+918778459372,customer141@example.com,Tripura,City_18,529653,Paneer Butter Masala,5,407,2025-05-01,Pickup,Debit Card,Out for Delivery,2035
ONL00142,Customer_142,+917851688644,customer142@example.com,Haryana,City_7,701864,Momos,3,312,2025-03-03,Pickup,Net Banking,Pending,936
ONL00143,Customer_143,+917998271189,customer143@example.com,Maharashtra,City_26,555950,Idli Sambar,5,374,2025-01-01,Home Delivery,Net Banking,Cancelled,1870
ONL00144,Customer_144,+919774770920,customer144@example.com,Puducherry,City_44,381534,Chicken Biryani,2,233,2025-04-29,Home Delivery,UPI,Cancelled,466
ONL00145,Customer_145,+918633090134,customer145@example.com,Odisha,City_21,109322,Fish Curry,2,267,2025-04-18,Pickup,Cash on Delivery,Delivered,534
ONL00146,Customer_146,+919854122600,customer146@example.com,Assam,City_42,620720,Fish Curry,5,458,2025-05-31,Pickup,UPI,Pending,2290
ONL00147,Customer_147,+919578021338,customer147@example.com,Puducherry,City_14,537590,Pav Bhaji,5,237,2025-02-05,Pickup,UPI,Pending,1185
ONL00148,Customer_148,+916902670753,customer148@example.com,Punjab,City_42,958026,Chicken Biryani,2,206,2025-02-13,Pickup,Net Banking,Pending,412
ONL00149,Customer_149,+918064298056,customer149@example.com,Andhra Pradesh,City_21,535522,Pav Bhaji,2,106,2025-06-29,Pickup,Credit Card,Cancelled,212
ONL00150,Customer_150,+917725907260,customer150@example.com,West Bengal,City_28,287798,Chole Bhature,2,118,2025-04-23,Pickup,Net Banking,Out for Delivery,236
ONL00151,Customer_151,+917969529064,customer151@example.com,Assam,City_11,623060,Pav Bhaji,2,194,2025-04-06,Home Delivery,UPI,Pending,388
ONL00152,Customer_152,+916656445827,customer152@example.com,Chhattisgarh,City_24,240639,Pav Bhaji,4,389,2025-06-04,Pickup,Net Banking,Out for Delivery,1556
ONL00153,Customer_153,+919077299393,customer153@example.com,Tripura,City_18,386509,Idli Sambar,5,102,2025-07-20,Pickup,Credit Card,Out for Delivery,510
ONL00154,Customer_154,+919964496718,customer154@example.com,Himachal Pradesh,City_7,960745,Chole Bhature,3,401,2025-02-06,Pickup,Credit Card,Pending,1203
ONL00155,Customer_155,+919933692193,customer155@example.com,Uttar Pradesh,City_2,172008,Pav Bhaji,3,155,2025-06-17,Pickup,Debit Card,Preparing,465
ONL00156,Customer_156,+918969967991,customer156@example.com,Tamil Nadu,City_23,544001,Pav Bhaji,4,295,2025-02-23,Pickup,Cash on Delivery,Cancelled,1180
ONL00157,Customer_157,+919040930650,customer157@example.com,Andhra Pradesh,City_47,140058,Rogan Josh,1,197,2025-07-02,Home Delivery,UPI,Out for Delivery,197
ONL00158,Customer_158,+917687075868,customer158@example.com,Telangana,City_49,219227,Rogan Josh,2,250,2025-03-11,Home Delivery,Debit Card,Preparing,500
ONL00159,Customer_159,+918736146371,customer159@example.com,Assam,City_24,831891,Rogan Josh,4,426,2025-07-14,Pickup,Cash on Delivery,Out for Delivery,1704
ONL00160,Customer_160,+918277247674,customer160@example.com,Himachal Pradesh,City_15,550409,Chicken Biryani,4,181,2025-05-17,Home Delivery,Debit Card,Preparing,724
ONL00161,Customer_161,+919137454971,customer161@example.com,Haryana,City_15,278017,Idli Sambar,5,294,2025-01-27,Home Delivery,Cash on Delivery,Cancelled,1470
ONL00162,Customer_162,+918966462697,customer162@example.com,Gujarat,City_17,990281,Paneer Butter Masala,3,493,2025-04-14,Home Delivery,Credit Card,Cancelled,1479
ONL00163,Customer_163,+919319005595,customer163@example.com,Bihar,City_36,941720,Rogan Josh,1,262,2025-05-17,Home Delivery,Credit Card,Out for Delivery,262
ONL00164,Customer_164,+917255650523,customer164@example.com,Haryana,City_50,248736,Pav Bhaji,3,468,2025-05-24,Home Delivery,UPI,Pending,1404
ONL00165,Customer_165,+916839121371,customer165@example.com,Kerala,City_21,381486,Fish Curry,1,335,2025-05-04,Home Delivery,Cash on Delivery,Cancelled,335
ONL00166,Customer_166,+916313190366,customer166@example.com,Maharashtra,City_27,235146,Paneer Butter Masala,1,331,2025-07-14,Home Delivery,UPI,Out for Delivery,331
ONL00167,Customer_167,+918123574782,customer167@example.com,Telangana,City_8,397794,Paneer Butter Masala,5,395,2025-03-22,Home Delivery,UPI,Cancelled,1975
ONL00168,Customer_168,+917143596030,customer168@example.com,Odisha,City_31,769392,Momos,4,209,2025-03-08,Home Delivery,Net Banking,Pending,836
ONL00169,Customer_169,+919233508628,customer169@example.com,Andhra Pradesh,City_45,664722,Pav Bhaji,2,213,2025-06-08,Home Delivery,Net Banking,Delivered,426
ONL00170,Customer_170,+917417224529,customer170@example.com,West Bengal,City_14,571347,Masala Dosa,5,225,2025-06-27,Home Delivery,Net Banking,Cancelled,1125
ONL00171,Customer_171,+918070796603,customer171@example.com,Chhattisgarh,City_7,384966,Chole Bhature,5,399,2025-04-28,Home Delivery,UPI,Delivered,1995
ONL00172,Customer_172,+917902295802,customer172@example.com,Uttarakhand,City_39,644697,Fish Curry,5,338,2025-03-10,Home Delivery,UPI,Pending,1690
ONL00173,Customer_173,+917020298324,customer173@example.com,Telangana,City_32,914473,Veg Pulao,5,302,2025-06-17,Home Delivery,UPI,Out for Delivery,1510
ONL00174,Customer_174,+916296257058,customer174@example.com,Tripura,City_41,643456,Pav Bhaji,5,463,2025-05-05,Home Delivery,Credit Card,Delivered,2315
